frame_nr;sampler_time;layer_id;layer_size;encoding_time;encoded_size;send_timestamp;full_size
0;6;0;1325655;15;147695;1696323327728;0
0;6;1;552360;9;68046;1696323327728;0
0;6;2;331455;7;43528;1696323327728;0
5;6;0;1296720;16;152983;1696323327926;0
5;6;1;540300;6;70627;1696323327926;0
5;6;2;324210;6;45247;1696323327926;0
10;8;0;1374465;22;190005;1696323328103;0
10;8;1;572700;14;88753;1696323328103;0
10;8;2;343650;6;56274;1696323328103;0
15;10;0;1311660;20;217778;1696323328291;0
15;10;1;546525;6;101359;1696323328291;0
15;10;2;327960;8;64185;1696323328291;0
20;8;0;1242990;27;209451;1696323328501;0
20;8;1;517920;13;96816;1696323328501;0
20;8;2;310770;8;61730;1696323328501;0
25;13;0;1234680;21;203462;1696323328690;0
25;13;1;514455;9;94145;1696323328690;0
25;13;2;308700;8;59863;1696323328690;0
30;21;0;1037775;15;168143;1696323328860;0
30;21;1;432405;6;77834;1696323328860;0
30;21;2;259485;6;49389;1696323328860;0
35;9;0;996975;18;169763;1696323329027;0
35;9;1;415410;10;78761;1696323329027;0
35;9;2;249270;5;50203;1696323329027;0
40;13;0;975870;21;167333;1696323329231;0
40;13;1;406620;10;77213;1696323329231;0
40;13;2;244005;4;49184;1696323329231;0
45;3;0;971415;19;166903;1696323329401;0
45;3;1;404760;6;77466;1696323329401;0
45;3;2;242895;6;48504;1696323329401;0
50;12;0;966420;18;164204;1696323329546;0
50;12;1;402675;6;76108;1696323329546;0
50;12;2;241650;6;48431;1696323329546;0
55;9;0;977250;17;167046;1696323329723;0
55;9;1;407190;10;77144;1696323329723;0
55;9;2;244335;6;48990;1696323329723;0
60;3;0;969750;17;164781;1696323329871;0
60;3;1;404070;9;76275;1696323329871;0
60;3;2;242460;5;48574;1696323329871;0
65;21;0;968430;15;164759;1696323330040;0
65;21;1;403515;6;76916;1696323330040;0
65;21;2;242130;6;48693;1696323330040;0
70;4;0;965415;14;164413;1696323330197;0
70;4;1;402255;7;76022;1696323330197;0
70;4;2;241380;5;48403;1696323330197;0
75;3;0;970875;13;164829;1696323330314;0
75;3;1;404535;7;75959;1696323330314;0
75;3;2;242760;3;48926;1696323330314;0
80;18;0;966075;14;164686;1696323330436;0
